"nest_id","maleplumage","season","laying_date","lay_day","november"
"LSP2021032","black-white","2020-21","03/01/2021",64,"01/11/2020"
"LSP2021034","black-white","2020-21","09/01/2021",70,"01/11/2020"
"LSP2021036","black-white","2020-21","03/02/2021",95,"01/11/2020"
"LSP2021037","black-white","2020-21","10/01/2021",71,"01/11/2020"
"LSP2021038","black-white","2020-21","10/01/2021",71,"01/11/2020"
"LSP2021039","black-white","2020-21","10/01/2021",71,"01/11/2020"
"LSP2021042","black-white","2020-21","09/01/2021",70,"01/11/2020"
"LSP2021044","black-white","2020-21","15/01/2021",76,"01/11/2020"
"LSP2021045","black-white","2020-21","16/01/2021",77,"01/11/2020"
"LSP2021046","black-white","2020-21","15/01/2021",76,"01/11/2020"
"LSP2021049","black-white","2020-21","21/01/2021",82,"01/11/2020"
"LSP2021050","black-white","2020-21","17/01/2021",78,"01/11/2020"
"LSP2021051","black-white","2020-21","29/01/2021",90,"01/11/2020"
"LSP2021052","brown","2020-21","19/01/2021",80,"01/11/2020"
"LSP2021055","black-white","2020-21","27/01/2021",88,"01/11/2020"
"LSP2021057","black-white","2020-21","21/01/2021",82,"01/11/2020"
"LSP2021059","brown","2020-21","28/01/2021",89,"01/11/2020"
"LSP2021060","black-white","2020-21","06/02/2021",98,"01/11/2020"
"LSP2021062","black-white","2020-21","26/01/2021",87,"01/11/2020"
"LSP2021064","black-white","2020-21","26/01/2021",87,"01/11/2020"
"LSP2021069","black-white","2020-21","07/02/2021",99,"01/11/2020"
"LSP2021070","black-white","2020-21","04/02/2021",96,"01/11/2020"
"LSP2021072","black-white","2020-21","12/02/2021",104,"01/11/2020"
"LSP2021073","brown","2020-21","09/02/2021",101,"01/11/2020"
"LSP2021075","black-white","2020-21","05/03/2021",125,"01/11/2020"
"LSP2021077","black-white","2020-21","14/02/2021",106,"01/11/2020"
"LSP2021085","black-white","2020-21","22/02/2021",114,"01/11/2020"
"LSP2021087","black-white","2020-21","02/03/2021",122,"01/11/2020"
"LSP2021088","black-white","2020-21","02/03/2021",122,"01/11/2020"
"LSP2021089","black-white","2020-21","09/03/2021",129,"01/11/2020"
"LSP2021092","black-white","2020-21","10/03/2021",130,"01/11/2020"
"LSP2021093","black-white","2020-21","16/03/2021",136,"01/11/2020"
"LSP2021094","black-white","2020-21","16/03/2021",136,"01/11/2020"
"LSP2122001","black-white","2021-22","10/12/2021",40,"01/11/2021"
"LSP2122002","black-white","2021-22","15/12/2021",45,"01/11/2021"
"LSP2122003","black-white","2021-22","09/12/2021",39,"01/11/2021"
"LSP2122006","black-white","2021-22","23/12/2021",53,"01/11/2021"
"LSP2122007","brown","2021-22","17/12/2021",47,"01/11/2021"
"LSP2122008","black-white","2021-22","17/12/2021",47,"01/11/2021"
"LSP2122010","black-white","2021-22","20/12/2021",50,"01/11/2021"
"LSP2122012","black-white","2021-22","16/12/2021",46,"01/11/2021"
"LSP2122013","black-white","2021-22","20/12/2021",50,"01/11/2021"
"LSP2122014","black-white","2021-22","14/12/2021",44,"01/11/2021"
"LSP2122015","black-white","2021-22","19/12/2021",49,"01/11/2021"
"LSP2122016","black-white","2021-22","24/12/2021",54,"01/11/2021"
"LSP2122017","black-white","2021-22","19/12/2021",49,"01/11/2021"
