"odd_hatch","Incube_day","maleplumage","clutch_size","ring_number_female","season","incube_date","november"
1,74,"black-white",2,"UFVCAF000084","2017_2018","14/01/2018","01/11/2017"
1,74,"black-white",3,"UFVCAF000266","2018_19","14/01/2019","01/11/2018"
0,74,"black-white",2,"UFVCAF000495","2021-22","14/01/2022","01/11/2021"
1,73,"black-white",3,"UFVCAF000718","2019_20","13/01/2020","01/11/2019"
1,73,"black-white",3,"UFVCAF000281","2019_20","13/01/2020","01/11/2019"
1,72,"black-white",3,"UFVCAF000169","2018_19","12/01/2019","01/11/2018"
0,72,"black-white",3,"UFVCAF000507","2020-21","12/01/2021","01/11/2020"
1,71,"black-white",2,"UFVCAF000008","2017_2018","11/01/2018","01/11/2017"
1,71,"black-white",3,"UFVCAF000281","2018_19","11/01/2019","01/11/2018"
0,71,"black-white",2,"UFVCAF000506","2020-21","11/01/2021","01/11/2020"
0,70,"black-white",2,"UFVCAF000075","2019_20","10/01/2020","01/11/2019"
1,70,"black-white",3,"UFVCAF000334","2019_20","10/01/2020","01/11/2019"
1,70,"black-white",3,"UFVCAF000328","2019_20","10/01/2020","01/11/2019"
0,69,"black-white",2,"UFVCAF000125","2018_19","09/01/2019","01/11/2018"
1,69,"black-white",2,"UFVCAF000732","2019_20","09/01/2020","01/11/2019"
0,69,"black-white",3,"UFVCAF000501","2020-21","09/01/2021","01/11/2020"
1,68,"black-white",3,"UFVCAF000233","2018_19","08/01/2019","01/11/2018"
1,67,"black-white",3,"UFVCAF000288","2019_20","07/01/2020","01/11/2019"
1,67,"black-white",2,"UFVCAF000317","2019_20","07/01/2020","01/11/2019"
0,66,"black-white",2,"UFVCAF000747","2019_20","06/01/2020","01/11/2019"
1,65,"black-white",3,"UFVCAF000023","2017_2018","05/01/2018","01/11/2017"
1,65,"black-white",3,"UFVCAF000051","2017_2018","05/01/2018","01/11/2017"
1,65,"black-white",3,"UFVCAF000749","2019_20","05/01/2020","01/11/2019"
1,65,"black-white",3,"UFVCAF000319","2019_20","05/01/2020","01/11/2019"
1,64,"black-white",3,"UFVCAF000336","2019_20","04/01/2020","01/11/2019"
1,64,"black-white",2,"UFVCAF000329","2019_20","04/01/2020","01/11/2019"
1,64,"black-white",3,"UFVCAF000322","2019_20","04/01/2020","01/11/2019"
1,63,"black-white",3,"UFVCAF000050","2017_2018","03/01/2018","01/11/2017"
1,63,"black-white",3,"UFVCAF000200","2018_19","03/01/2019","01/11/2018"
0,63,"black-white",2,"UFVCAF000280","2019_20","03/01/2020","01/11/2019"
1,63,"black-white",2,"UFVCAF000713","2019_20","03/01/2020","01/11/2019"
1,63,"black-white",3,"UFVCAF000597","2020-21","03/01/2021","01/11/2020"
1,63,"black-white",2,"UFVCAF000570","2020-21","03/01/2021","01/11/2020"
0,63,"black-white",3,"UFVCAF000201","2021-22","03/01/2022","01/11/2021"
1,62,"black-white",3,"UFVCAF000051","2021-22","02/01/2022","01/11/2021"
1,61,"black-white",2,"D143311","2014_2015","01/01/2015","01/11/2014"
1,61,"black-white",3,"UFVCAF000041","2019_20","01/01/2020","01/11/2019"
1,61,"black-white",2,"UFVCAF000318","2019_20","01/01/2020","01/11/2019"
1,60,"black-white",3,"UFVCAF000565","2020-21","31/12/2020","01/11/2020"
0,59,"black-white",3,"D143340","2014_2015","30/12/2014","01/11/2014"
0,59,"black-white",2,"UFVCAF000347","2019_20","30/12/2019","01/11/2019"
0,58,"black-white",2,"D143315","2014_2015","29/12/2014","01/11/2014"
1,58,"black-white",3,"UFVCAF000058","2018_19","29/12/2018","01/11/2018"
0,58,"black-white",2,"UFVCAF000317","2019_20","29/12/2019","01/11/2019"
1,58,"black-white",2,"UFVCAF000342","2019_20","29/12/2019","01/11/2019"
0,58,"black-white",2,"UFVCAF000835","2020-21","29/12/2020","01/11/2020"
0,58,"black-white",2,"UFVCAF000566","2020-21","29/12/2020","01/11/2020"
0,57,"black-white",3,"UFVCAF000005","2017_2018","28/12/2017","01/11/2017"
0,57,"black-white",2,"UFVCAF000742","2019_20","28/12/2019","01/11/2019"
1,57,"black-white",3,"UFVCAF000358","2020-21","28/12/2020","01/11/2020"
1,57,"black-white",2,"UFVCAF000555","2020-21","28/12/2020","01/11/2020"
1,57,"black-white",3,"UFVCAF000649","2020-21","28/12/2020","01/11/2020"
1,56,"black-white",3,"UFVCAF000165","2018_19","27/12/2018","01/11/2018"
