"nest_id","clutch_size","egg_number","maleplumage","ring_female","cc_female","season","layday","laydate","L_egg","W_egg","egg_vol","november","Laying_Day"
"LSP1819031",3,1,"black-white","UFVCAF000172","al bl wh wh","2018_19",54,"24/12/2018",18.7,12,1373.328,"01/11/2018",54
"LSP1819031",3,2,"black-white","UFVCAF000172","al bl wh wh","2018_19",54,"24/12/2018",17.7,12.1,1321.64307,"01/11/2018",54
"LSP1819031",3,3,"black-white","UFVCAF000172","al bl wh wh","2018_19",54,"24/12/2018",18.07,12,1327.0608,"01/11/2018",54
"LSP1819032",2,1,"brown","UFVCAF000195","al dg ye wh","2018_19",63,"02/01/2019",17.93,12.66,1465.608169,"01/11/2018",63
"LSP1819032",2,2,"brown","UFVCAF000195","al dg ye wh","2018_19",63,"02/01/2019",17.08,12.3,1317.856932,"01/11/2018",63
"LSP1819039",2,1,"black-white","UFVCAF000125","al ye ye pu","2018_19",69,"08/01/2019",17.02,12.28,1308.960272,"01/11/2018",69
"LSP1819039",2,2,"black-white","UFVCAF000125","al ye ye pu","2018_19",69,"08/01/2019",16.47,12.55,1322.973749,"01/11/2018",69
"LSP1819040",2,1,"brown","UFVCAF000260","al pu og dg","2018_19",73,"12/01/2019",17.88,12.86,1508.063496,"01/11/2018",73
"LSP1819040",2,2,"brown","UFVCAF000260","al pu og dg","2018_19",73,"12/01/2019",16.72,12.88,1414.614728,"01/11/2018",73
"LSP1819055",3,1,"black-white","UFVCAF000266","al re wh ye","2018_19",75,"14/01/2019",17.6,13.43,1618.955342,"01/11/2018",75
"LSP1819055",3,2,"black-white","UFVCAF000266","al re wh ye","2018_19",75,"14/01/2019",16.99,13,1464.3681,"01/11/2018",75
"LSP1819055",3,3,"black-white","UFVCAF000266","al re wh ye","2018_19",75,"14/01/2019",17.46,13.33,1582.248579,"01/11/2018",75
"LSP1819059",2,1,"black-white","UFVCAF000258","al pu og og","2018_19",78,"17/01/2019",16.82,12.68,1379.223584,"01/11/2018",78
"LSP1819059",2,2,"black-white","UFVCAF000258","al pu og og","2018_19",78,"17/01/2019",16.77,12.81,1403.464714,"01/11/2018",78
"LSP1819068",3,1,"black-white"," UFVCAF000237","al dg og og ","2018_19",77,"16/01/2019",16.64,12.34,1292.271652,"01/11/2018",77
