"nest_id","success","plumage","layday","laydate","season","fail_date","fledge_date","fail_fledge_date","ring_female","nest_fate","november","Laying_Day"
"LSP1920004",0,"black-white",60,"30/12/2019","2019_20","17/01/2020","","17/01/2020","UFVCAF000347","unhatched","01/11/2019",60
"LSP1920007",0,"black-white",53,"23/12/2019","2019_20","08/01/2020","","08/01/2020","UFVCAF000348","depredated","01/11/2019",53
"LSP1920009",0,"black-white",56,"26/12/2019","2019_20","03/01/2020","","03/01/2020","UFVCAF000334","depredated","01/11/2019",56
"LSP1920010",0,"black-white",56,"26/12/2019","2019_20","31/12/2019","","31/12/2019","UFVCAF000329","abandoned","01/11/2019",56
"LSP1920011",0,"black-white",55,"25/12/2019","2019_20","04/01/2020","","04/01/2020","UFVCAF000281","depredated","01/11/2019",55
"LSP1920012",0,"black-white",57,"27/12/2019","2019_20","02/01/2020","","02/01/2020","UFVCAF000742","depredated","01/11/2019",57
"LSP1920013",0,"black-white",53,"23/12/2019","2019_20","23/12/2019","","23/12/2019","UFVCAF000322","depredated","01/11/2019",53
"LSP1920017",0,"black-white",49,"19/12/2019","2019_20","04/01/2020","","04/01/2020","UFVCAF000328","depredated","01/11/2019",49
"LSP1920020",0,"black-white",58,"28/12/2019","2019_20","03/01/2020","","03/01/2020","UFVCAF000317","depredated","01/11/2019",58
"LSP1920021",0,"black-white",63,"02/01/2020","2019_20","12/01/2020","","12/01/2020","","depredated","01/11/2019",63
"LSP1920022",0,"black-white",64,"03/01/2020","2019_20","09/01/2020","","09/01/2020","UFVCAF000280","depredated","01/11/2019",64
"LSP1920025",0,"black-white",66,"05/01/2020","2019_20","18/01/2020","","18/01/2020","UFVCAF000747","depredated","01/11/2019",66
"LSP1920026",0,"brown",64,"03/01/2020","2019_20","08/01/2020","","08/01/2020","UFVCAF000391","depredated","01/11/2019",64
"LSP1920027",0,"brown",61,"31/12/2019","2019_20","03/01/2020","","03/01/2020","","weather","01/11/2019",61
"LSP1920029",0,"black-white",64,"03/01/2020","2019_20","20/01/2020","","20/01/2020","UFVCAF000749","depredated","01/11/2019",64
"LSP1920031",0,"brown",70,"09/01/2020","2019_20","15/01/2020","","15/01/2020","UFVCAF000719","abandoned","01/11/2019",70
"LSP1920032",0,"black-white",65,"04/01/2020","2019_20","24/01/2020","","24/01/2020","UFVCAF000288","depredated","01/11/2019",65
"LSP1920033",0,"black-white",67,"06/01/2020","2019_20","07/01/2020","","07/01/2020","","depredated","01/11/2019",67
"LSP1920037",0,"brown",70,"09/01/2020","2019_20","13/01/2020","","13/01/2020","","depredated","01/11/2019",70
"LSP1920038",0,"black-white",71,"10/01/2020","2019_20","13/01/2020","","13/01/2020","UFVCAF000075","depredated","01/11/2019",71
"LSP1920039",0,"black-white",70,"09/01/2020","2019_20","25/01/2020","","25/01/2020","UFVCAF000334","weather","01/11/2019",70
"LSP1920044",0,"black-white",76,"15/01/2020","2019_20","16/01/2020","","16/01/2020","","depredated","01/11/2019",76
"LSP1920046",0,"black-white",70,"09/01/2020","2019_20","24/01/2020","","24/01/2020","UFVCAF000328","weather","01/11/2019",70
"LSP1920048",0,"black-white",80,"19/01/2020","2019_20","25/01/2020","","25/01/2020","UFVCAF000714","weather","01/11/2019",80
"LSP1920055",0,"brown",78,"17/01/2020","2019_20","25/01/2020","","25/01/2020","UFVCAF000745","abandoned","01/11/2019",78
"LSP1920058",0,"black-white",79,"18/01/2020","2019_20","19/01/2020","","19/01/2020","","depredated","01/11/2019",79
"LSP1920059",0,"brown",80,"19/01/2020","2019_20","21/01/2020","","21/01/2020","UFVCAF000391","depredated","01/11/2019",80
"LSP1920060",0,"black-white",86,"25/01/2020","2019_20","02/02/2020","","02/02/2020","UFVCAF000324","abandoned","01/11/2019",86
"LSP1920064",0,"black-white",84,"23/01/2020","2019_20","09/02/2020","","09/02/2020","UFVCAF000738","depredated","01/11/2019",84
"LSP1920066",0,"black-white",86,"25/01/2020","2019_20","05/02/2020","","05/02/2020","UFVCAF000329","depredated","01/11/2019",86
"LSP1920068",0,"brown",89,"28/01/2020","2019_20","17/02/2020","","17/02/2020","UFVCAF000764","weather","01/11/2019",89
"LSP1920069",0,"black-white",90,"29/01/2020","2019_20","10/02/2020","","10/02/2020","UFVCAF000120","depredated","01/11/2019",90
"LSP1920071",0,"black-white",91,"30/01/2020","2019_20","04/02/2020","","04/02/2020","UFVCAF000747","depredated","01/11/2019",91
"LSP1920072",0,"black-white",90,"29/01/2020","2019_20","08/02/2020","","08/02/2020","UFVCAF000779","depredated","01/11/2019",90
"LSP1920073",0,"black-white",90,"29/01/2020","2019_20","02/02/2020","","02/02/2020","UFVCAF000201","depredated","01/11/2019",90
"LSP1920079",0,"black-white",93,"01/02/2020","2019_20","07/02/2020","","07/02/2020","UFVCAF000156","depredated","01/11/2019",93
"LSP1920082",0,"black-white",95,"03/02/2020","2019_20","07/02/2020","","07/02/2020","","depredated","01/11/2019",95
"LSP1920084",0,"brown",98,"06/02/2020","2019_20","12/02/2020","","12/02/2020","UFVCAF000745","depredated","01/11/2019",98
"LSP1920088",0,"brown",101,"09/02/2020","2019_20","13/02/2020","","13/02/2020","UFVCAF000775","depredated","01/11/2019",101
"LSP1920089",0,"black-white",97,"05/02/2020","2019_20","11/02/2020","","11/02/2020","","depredated","01/11/2019",97
"LSP1920090",0,"black-white",100,"08/02/2020","2019_20","26/02/2020","","26/02/2020","UFVCAF000700","depredated","01/11/2019",100
"LSP1920093",0,"black-white",96,"04/02/2020","2019_20","20/02/2020","","20/02/2020","UFVCAF000202","depredated","01/11/2019",96
"LSP1920095",0,"brown",100,"08/02/2020","2019_20","12/02/2020","","12/02/2020","UFVCAF000329","abandoned","01/11/2019",100
"LSP1920101",0,"black-white",108,"16/02/2020","2019_20","20/02/2020","","20/02/2020","","depredated","01/11/2019",108
"LSP1920102",0,"black-white",110,"18/02/2020","2019_20","25/02/2020","","25/02/2020","UFVCAF000323","depredated","01/11/2019",110
"LSP1920110",0,"black-white",116,"24/02/2020","2019_20","08/03/2020","","08/03/2020","","depredated","01/11/2019",116
"LSP1920111",0,"black-white",124,"03/03/2020","2019_20","21/03/2020","","21/03/2020","UFVCAF000867","depredated","01/11/2019",124
"LSP1920113",0,"black-white",119,"27/02/2020","2019_20","02/03/2020","","02/03/2020","","depredated","01/11/2019",119
"LSP1920115",0,"black-white",130,"09/03/2020","2019_20","22/03/2020","","22/03/2020","UFVCAF000799","depredated","01/11/2019",130
