date,year,avr_temp,max_temp,min_temp,avr_rH,max_rH,min_rH,avr_dewp,max_dewp,min_dewp,avr_hPa,max_hPa,min_hPa,avr_wind_vel,avr_radiation,tot_prec
04/01/2018,2018,21.2625,24.9,20,0.925416667,0.95,0.76,19.99166667,21.1,19.2,927.8416667,929.4,925.7,0.35,333.4,44
24/01/2020,2020,21.5875,25.7,19.6,0.916666667,0.95,0.76,20.14583333,22.2,18.7,921.6458333,923.6,919.7,1.345833333,379.0692308,132.8
28/03/2013,2013,21.62222222,24.5,20.2,0.91,0.95,0.76,20.08888889,21.2,19.2,928.5555556,930.4,927.5,0.588888889,515.1428571,5.2
04/10/2016,2016,18.67916667,22.2,17.1,0.909583333,0.95,0.76,17.1625,18.6,16,928.425,930.9,925.6,0.658333333,433.5583333,34.8
10/04/2013,2013,20.825,23.2,19.2,0.894583333,0.95,0.76,18.9875,20.2,17.7,930.3125,932.8,928.5,0.6625,528.1083333,6.8
16/05/2020,2020,18.98333333,22.4,17,0.895,0.94,0.76,17.19583333,18.8,16.1,931.4916667,933.2,930.3,0.191666667,409.425,1.6
22/08/2020,2020,14.275,15.4,13.2,0.87375,0.94,0.76,12.1625,13.2,11.2,934.0541667,935.6,932.7,1.0625,210.1083333,12
21/11/2021,2021,20.325,22.8,18.1,0.877916667,0.93,0.76,18.2,20,16.6,928.4208333,930,926.8,1.354166667,615.3571429,4.2
18/10/2013,2013,18.69583333,22.7,15.2,0.89125,0.96,0.75,16.79166667,18.9,14.6,927.5791667,930.5,925.1,0.8375,756.2153846,1.2
20/10/2021,2021,18.99583333,20.7,16.1,0.88125,0.95,0.75,16.95833333,18.7,14.8,929.2958333,931.4,927.8,1.2125,677.9461538,22.2
01/12/2016,2016,19.13333333,21.3,16.5,0.852083333,0.94,0.75,16.56666667,18.7,14.8,932.1958333,934.2,930.1,1.841666667,423.3071429,23
30/12/2017,2017,21.9,24.2,20,0.87625,0.93,0.75,19.70833333,21.2,18.5,927.9166667,930.3,925.9,0.308333333,486.3071429,11.6
19/05/2017,2017,18.16666667,21.1,14.7,0.84625,0.9,0.75,15.52083333,18.1,12.9,928.7458333,930.8,926.3,0.679166667,423.2333333,1.6
29/05/2013,2013,17.1,19.7,16,0.929583333,0.96,0.74,15.92916667,17.5,14.9,930.175,931.6,927.9,0.9,285.0142857,46.6
31/01/2013,2013,21.85,25.1,20.7,0.9175,0.96,0.74,20.42083333,21.8,19.4,929.2916667,931,927.4,0.420833333,511.0071429,6.2
